x,y,latitude,transparen,longitude,fid,station_vi,visit_date,color_id
24.304433,57.794699,57.794699000000001,2.000000000000000,24.304433000000000,5282,212300.0,2012/08/16 10:15:00.000,17.0
24.296766,57.865316,57.865316000000000,2.000000000000000,24.296766000000002,5283,212301.0,2012/08/16 11:15:00.000,15.0
24.307633,57.865466,57.865465999999998,2.000000000000000,24.307632999999999,5284,212302.0,2012/08/16 11:25:00.000,17.0
24.319616,57.865516,57.865516000000000,1.900000000000000,24.319616000000000,5285,212303.0,2012/08/16 11:35:00.000,15.0
24.327833,57.865483,57.865482999999998,1.800000000000000,24.327832999999998,5286,212304.0,2012/08/16 11:45:00.000,19.0
24.319366,57.856083,57.856082999999998,1.800000000000000,24.319365999999999,5287,212305.0,2012/08/16 11:55:00.000,17.0
24.330433,57.855566,57.855566000000003,1.800000000000000,24.330432999999999,5288,212306.0,2012/08/16 12:05:00.000,17.0
24.334849,57.855783,57.855783000000002,1.700000000000000,24.334848999999998,5289,212307.0,2012/08/16 12:10:00.000,17.0
24.3122,57.848316,57.848315999999997,1.800000000000000,24.312200000000001,5290,212308.0,2012/08/16 12:25:00.000,17.0
24.318083,57.847216,57.847216000000003,1.700000000000000,24.318083000000001,5291,212309.0,2012/08/16 12:28:00.000,17.0
24.32535,57.846083,57.846083000000000,1.900000000000000,24.325350000000000,5292,212310.0,2012/08/16 12:35:00.000,17.0
24.30075,57.849016,57.849015999999999,1.900000000000000,24.300750000000001,5293,212311.0,2012/08/16 12:52:00.000,17.0
24.297183,57.856533,57.856532999999999,2.200000000000000,24.297183000000000,5294,212312.0,2012/08/16 13:03:00.000,15.0
24.280249,57.8663,57.866300000000003,2.000000000000000,24.280249000000001,5295,212313.0,2012/08/16 13:17:00.000,17.0
24.281501,57.85795,57.857950000000002,1.900000000000000,24.281500999999999,5296,212314.0,2012/08/16 13:27:00.000,15.0
24.276499,57.849316,57.849316000000002,1.900000000000000,24.276499000000001,5297,212315.0,2012/08/16 13:40:00.000,15.0
24.264849,57.858866,57.858865999999999,1.800000000000000,24.264849000000002,5298,212316.0,2012/08/16 13:54:00.000,15.0
24.259083,57.85045,57.850450000000002,1.900000000000000,24.259083000000000,5299,212317.0,2012/08/16 14:07:00.000,17.0
24.241966,57.850516,57.850515999999999,2.000000000000000,24.241966000000001,5300,212318.0,2012/08/16 14:18:00.000,17.0
24.243116,57.858883,57.858882999999999,1.900000000000000,24.243116000000001,5301,212319.0,2012/08/16 14:30:00.000,17.0
24.225249,57.868783,57.868783000000001,2.200000000000000,24.225249000000002,5302,212320.0,2012/08/16 14:50:00.000,15.0
24.213583,57.859716,57.859715999999999,2.400000000000000,24.213583000000000,5303,212321.0,2012/08/16 15:00:00.000,15.0
24.212766,57.852416,57.852415999999998,2.200000000000000,24.212765999999998,5304,212322.0,2012/08/16 15:10:00.000,15.0
24.2044,57.831733,57.831733000000000,2.300000000000000,24.204400000000000,5305,212323.0,2012/08/16 15:20:00.000,17.0
24.224416,57.8307,57.830700000000000,2.300000000000000,24.224416000000002,5306,212324.0,2012/08/16 15:30:00.000,17.0
24.2359,57.831116,57.831116000000002,2.000000000000000,24.235900000000001,5307,212325.0,2012/08/16 16:00:00.000,15.0
24.2469,57.830583,57.830582999999997,1.900000000000000,24.246900000000000,5308,212326.0,2012/08/16 16:05:00.000,15.0
24.259666,57.830183,57.830182999999998,2.000000000000000,24.259665999999999,5309,212327.0,2012/08/16 16:10:00.000,15.0
24.288783,57.829816,57.829816000000001,1.800000000000000,24.288782999999999,5310,212328.0,2012/08/16 16:15:00.000,17.0
24.311966,57.61025,57.610250000000001,2.000000000000000,24.311966000000002,5311,212330.0,2012/08/17 10:05:00.000,17.0
